lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
0.01086707727624095,9049,,,,,,
,9049,188.97760009765625,57,,,,
0.010941285512125629,9099,,,,,,
,9099,188.6271209716797,57,,,,
,9105,,57,188.58908081054688,0.10350000113248825,,
0.011015861320259529,9149,,,,,,
,9149,188.6806182861328,58,,,,
0.011090804033013449,9199,,,,,,
,9199,188.96958923339844,58,,,,
0.011166112979473522,9249,,,,,,
,9249,188.57861328125,58,,,,
,9262,,58,188.49005126953125,0.10350000113248825,,
0.011241787485447172,9299,,,,,,
,9299,188.98426818847656,59,,,,
0.011317826873469286,9349,,,,,,
,9349,188.65711975097656,59,,,,
0.011394230462808116,9399,,,,,,
,9399,188.1389923095703,59,,,,
,9419,,59,188.3566436767578,0.10350000113248825,,
0.011470997569471522,9449,,,,,,
,9449,187.6937255859375,60,,,,
0.011548127506212993,9499,,,,,,
,9499,188.3397216796875,60,,,,
0.011625619582537827,9549,,,,,,
,9549,189.11996459960938,60,,,,
,9576,,60,188.2090606689453,0.10350000113248825,,
0.011703473104709344,9599,,,,,,
,9599,188.94805908203125,61,,,,
0.011781687375755051,9649,,,,,,
,9649,188.13864135742188,61,,,,
0.011860261695472926,9699,,,,,,
,9699,187.96531677246094,61,,,,
,9733,,61,187.75523376464844,0.10350000113248825,,
0.011939195360437624,9749,,,,,,
,9749,187.7767333984375,62,,,,
0.012018487664006858,9799,,,,,,
,9799,187.6752166748047,62,,,,
0.012098137896327646,9849,,,,,,
,9849,187.52789306640625,62,,,,
,9890,,62,187.26199340820312,0.10350000113248825,,
0.012178145344342722,9899,,,,,,
,9899,186.90005493164062,63,,,,
0.012258509291796879,9949,,,,,,
,9949,186.42611694335938,63,,,,
0.01233922901924342,9999,,,,,,
,9999,185.7664337158203,63,,,,
,10047,,63,185.5898895263672,0.18140000104904175,,
0.01242030380405057,10049,,,,,,
,10049,185.65805053710938,64,,,,
0.012501732920407932,10099,,,,,,
